buyerAvailableOptions[0].actionType,buyerAvailableOptions[0].actionURL,buyerLoginName,buyerResponseDue.activityDue,buyerResponseDue.respondByDate.value,buyerTotalRefund.actualRefundAmount.currency,buyerTotalRefund.actualRefundAmount.value,buyerTotalRefund.estimatedRefundAmount.currency,buyerTotalRefund.estimatedRefundAmount.value,creationInfo.comments.content,creationInfo.creationDate.value,creationInfo.item.itemId,creationInfo.item.returnQuantity,creationInfo.item.transactionId,creationInfo.reason,creationInfo.reasonType,creationInfo.type,currentType,escalationInfo.buyerEscalationEligibilityInfo.eligible,escalationInfo.sellerEscalationEligibilityInfo.eligible,escalationInfo.sellerEscalationEligibilityInfo.endTime.value,escalationInfo.sellerEscalationEligibilityInfo.startTime.value,orderId,returnId,returnPolicy.rmarequired,sellerAvailableOptions[0].actionType,sellerAvailableOptions[0].actionURL,sellerLoginName,sellerResponseDue.activityDue,sellerResponseDue.respondByDate.value,sellerTotalRefund.actualRefundAmount.currency,sellerTotalRefund.actualRefundAmount.value,sellerTotalRefund.estimatedRefundAmount.currency,sellerTotalRefund.estimatedRefundAmount.value,state,status,timeoutDate.value
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305601715,lila1001,BUYER_ESCALATE,2025-12-18T07:59:59.000Z,USD,24.75,USD,24.75,,2025-11-13T22:04:25.000Z,404869108960,1,10076746209110,ORDERED_WRONG_ITEM,REMORSE,MONEY_BACK,MONEY_BACK,False,False,,,10-13769-11439,5305601715,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305601715,espartsplus,SELLER_ISSUE_REFUND,2025-11-29T07:59:59.000Z,USD,22.45,USD,22.45,CLOSED,CLOSED,2025-12-19T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305740383,timdog_27,OTHER,,USD,21.19,USD,21.19,"Does not grip the key well , poor quality ",2025-11-15T18:36:55.000Z,404455741919,1,10076944875210,DEFECTIVE_ITEM,SNAD,MONEY_BACK,MONEY_BACK,False,False,,,10-13800-81925,5305740383,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305740383,espartsplus,SELLER_PROVIDE_LABEL,2025-11-21T07:59:59.000Z,USD,19.99,USD,19.99,CLOSED,CLOSED,2025-12-23T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305740509,brhus351,BUYER_ESCALATE,2025-12-18T07:59:59.000Z,USD,38.33,USD,38.33,the lug bolts are too long. would like to exchange for shorter ones ,2025-11-15T18:38:39.000Z,404549226031,1,10076179784320,DOES_NOT_FIT,SNAD,MONEY_BACK,MONEY_BACK,False,False,,,20-13808-29333,5305740509,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305740509,espartsplus,SELLER_ISSUE_REFUND,2025-11-29T07:59:59.000Z,USD,35.49,USD,35.49,CLOSED,CLOSED,2025-12-23T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305744710,gugogia0,NOTIFIED_SHIPPED,2025-12-03T07:59:59.000Z,,,USD,55.11,,2025-11-15T19:40:21.000Z,403444345567,1,10077038078211,WRONG_SIZE,REMORSE,MONEY_BACK,MONEY_BACK,False,False,,,11-13806-25814,5305744710,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305744710,espartsplus,SELLER_PROVIDE_LABEL,2025-12-09T07:59:59.000Z,,,USD,51.99,CLOSED,CLOSED,2025-12-23T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305763086,yinghu-21,NOTIFIED_SHIPPED,2025-12-03T07:59:59.000Z,,,USD,29.34,,2025-11-16T01:53:00.000Z,404596429952,1,10076308417123,ORDERED_WRONG_ITEM,REMORSE,MONEY_BACK,MONEY_BACK,False,False,,,23-13789-13930,5305763086,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305763086,espartsplus,SELLER_PROVIDE_LABEL,2025-12-09T07:59:59.000Z,,,USD,26.95,CLOSED,CLOSED,2025-12-23T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305768306,elsapupo,NOTIFIED_SHIPPED,2025-12-03T07:59:59.000Z,USD,19.26,USD,19.26,,2025-11-16T05:55:13.000Z,404738435251,1,10077001144512,WRONG_SIZE,REMORSE,MONEY_BACK,MONEY_BACK,False,True,2026-01-23T07:59:59.999Z,2025-12-06T08:03:28.000Z,12-13804-95876,5305768306,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305768306,espartsplus,SELLER_ISSUE_REFUND,2025-12-06T07:59:59.000Z,USD,18.0,USD,18.0,CLOSED,CLOSED,2025-12-23T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305786212,ji651239,BUYER_ESCALATE,2025-12-16T07:59:59.000Z,USD,102.71,USD,108.06,,2025-11-16T15:26:14.000Z,404964237317,1,10076691331706,NO_LONGER_NEED_ITEM,REMORSE,MONEY_BACK,MONEY_BACK,False,False,,,06-13757-78982,5305786212,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305786212,espartsplus,SELLER_ISSUE_REFUND,2025-12-04T07:59:59.000Z,USD,95.99,USD,100.99,CLOSED,CLOSED,2025-12-23T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305801326,gsxr-mil,NOTIFIED_SHIPPED,2025-12-03T07:59:59.000Z,USD,20.14,USD,20.14,,2025-11-16T20:06:56.000Z,404455741884,1,10078299828313,WRONG_SIZE,REMORSE,MONEY_BACK,MONEY_BACK,False,False,,,13-13809-90907,5305801326,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305801326,espartsplus,SELLER_ISSUE_REFUND,2025-11-27T07:59:59.000Z,USD,19.0,USD,19.0,CLOSED,CLOSED,2025-12-23T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305814494,pwong319,NOTIFIED_SHIPPED,2025-12-03T07:59:59.000Z,USD,21.87,USD,21.87,These look ridiculous sticking out. ,2025-11-17T01:49:13.000Z,404454305084,1,10076398173823,DOES_NOT_FIT,SNAD,MONEY_BACK,MONEY_BACK,False,False,,,23-13804-67731,5305814494,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305814494,espartsplus,SELLER_ISSUE_REFUND,2025-11-25T07:59:59.000Z,USD,19.99,USD,19.99,CLOSED,CLOSED,2025-12-23T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305814787,frankciccio9469,NOTIFIED_SHIPPED,2025-12-03T07:59:59.000Z,USD,30.2,USD,30.2,,2025-11-17T01:59:02.000Z,403347185667,1,10076294018204,ORDERED_WRONG_ITEM,REMORSE,MONEY_BACK,MONEY_BACK,False,False,,,04-13748-37798,5305814787,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305814787,espartsplus,SELLER_ISSUE_REFUND,2025-12-03T07:59:59.000Z,USD,24.49,USD,28.49,CLOSED,CLOSED,2025-12-23T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305855742,robrho-90,NOTIFIED_SHIPPED,2025-12-03T07:59:59.000Z,,,USD,122.5,No,2025-11-17T16:43:10.000Z,403541791679,1,10076130578209,DOES_NOT_FIT,SNAD,MONEY_BACK,MONEY_BACK,False,False,,,09-13815-46973,5305855742,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305855742,espartsplus,SELLER_PROVIDE_LABEL,2025-12-09T07:59:59.000Z,,,USD,114.49,CLOSED,CLOSED,2025-12-23T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305953111,supercarcentral,NOTIFIED_SHIPPED,2025-12-06T07:59:59.000Z,USD,69.49,USD,69.49,doesnt fit,2025-11-18T17:50:49.000Z,403541784199,1,10077000445012,NOT_AS_DESCRIBED,SNAD,MONEY_BACK,MONEY_BACK,False,False,,,12-13804-84326,5305953111,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305953111,espartsplus,SELLER_ISSUE_REFUND,2025-12-04T07:59:59.000Z,USD,48.65,USD,69.49,CLOSED,CLOSED,2025-12-24T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5306073735,2236158,BUYER_ESCALATE,2025-12-18T07:59:59.000Z,USD,21.49,USD,21.49,They do not thread on correctly.Feels like a bad fit like I ll strip the studs!,2025-11-20T01:42:08.000Z,404455741972,1,10077182598011,DOES_NOT_FIT,SNAD,MONEY_BACK,MONEY_BACK,False,False,,,11-13829-43309,5306073735,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5306073735,espartsplus,SELLER_ISSUE_REFUND,2025-11-29T07:59:59.000Z,USD,19.99,USD,19.99,CLOSED,CLOSED,2025-12-25T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5306136507,05086768craig,NOTIFIED_SHIPPED,2025-12-06T07:59:59.000Z,USD,36.03,USD,36.03,d not fit,2025-11-20T19:55:21.000Z,404371699667,1,10076474544104,DOES_NOT_FIT,SNAD,MONEY_BACK,MONEY_BACK,False,False,,,04-13779-93654,5306136507,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5306136507,espartsplus,SELLER_ISSUE_REFUND,2025-12-03T07:59:59.000Z,USD,33.99,USD,33.99,CLOSED,CLOSED,2025-12-27T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5306157944,norbertrodrigue-0,NOTIFIED_SHIPPED,2025-12-06T07:59:59.000Z,USD,34.52,USD,34.52,it don&#39;t sit right on rim,2025-11-21T01:12:12.000Z,404804650028,1,10076399085715,DOES_NOT_FIT,SNAD,MONEY_BACK,MONEY_BACK,False,False,,,15-13711-75885,5306157944,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5306157944,espartsplus,SELLER_ISSUE_REFUND,2025-12-03T07:59:59.000Z,USD,31.99,USD,31.99,CLOSED,CLOSED,2025-12-27T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5306164488,danvaz6,BUYER_ESCALATE,2025-12-31T07:59:59.000Z,USD,23.8,USD,23.8,,2025-11-21T04:09:30.000Z,405064070639,1,10076125721726,ORDERED_WRONG_ITEM,REMORSE,MONEY_BACK,MONEY_BACK,False,False,,,26-13818-79737,5306164488,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5306164488,espartsplus,SELLER_ISSUE_REFUND,2025-12-11T07:59:59.000Z,USD,21.99,USD,21.99,CLOSED,CLOSED,2025-12-27T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5306199287,mrgbii,NOTIFIED_SHIPPED,2025-12-11T07:59:59.000Z,USD,21.39,USD,21.39,Doesn’t fit snug between lock and key,2025-11-21T15:47:14.000Z,404455741919,1,10076928563315,DOES_NOT_FIT,SNAD,MONEY_BACK,MONEY_BACK,False,False,,,15-13796-46762,5306199287,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5306199287,espartsplus,SELLER_ISSUE_REFUND,2025-12-11T07:59:59.000Z,USD,19.99,USD,19.99,CLOSED,CLOSED,2025-12-30T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5306235169,anytime-78,NOTIFIED_SHIPPED,2025-12-11T07:59:59.000Z,USD,105.55,USD,105.55,so I got 2 sets of spacers from you guys the 1.25 fit perfectly no issues what so ever but unfortunately these ones the 15mm do not fit at all I can&#39;t get them over the center bore on the car side they don&#39;t seem to fit unfortunately ,2025-11-21T23:18:39.000Z,403464704391,1,10077260049011,NOT_AS_DESCRIBED,SNAD,MONEY_BACK,MONEY_BACK,False,False,,,11-13841-51893,5306235169,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5306235169,espartsplus,SELLER_ISSUE_REFUND,2025-12-04T07:59:59.000Z,USD,49.65,USD,99.29,CLOSED,CLOSED,2025-12-30T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5306275727,dflv2793,BUYER_ESCALATE,2025-12-31T07:59:59.000Z,USD,21.19,USD,21.19,,2025-11-22T15:33:38.000Z,405011206143,1,10076547596602,ORDERED_ACCIDENTALLY,REMORSE,MONEY_BACK,MONEY_BACK,False,False,,,02-13846-01732,5306275727,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5306275727,espartsplus,SELLER_ISSUE_REFUND,2025-12-11T07:59:59.000Z,USD,19.99,USD,19.99,CLOSED,CLOSED,2025-12-31T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5306315547,elsapupo,NOTIFIED_SHIPPED,2025-12-11T07:59:59.000Z,USD,20.33,USD,20.33,You sent a different item,2025-11-23T04:03:16.000Z,404455741919,1,10076433494401,ORDERED_DIFFERENT_ITEM,SNAD,MONEY_BACK,MONEY_BACK,False,True,2026-01-23T07:59:59.999Z,2025-12-06T08:00:53.000Z,01-13862-28321,5306315547,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5306315547,espartsplus,SELLER_ISSUE_REFUND,2025-12-06T07:59:59.000Z,USD,19.0,USD,19.0,CLOSED,CLOSED,2025-12-31T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5306317320,hb15080504,NOTIFIED_SHIPPED,2025-12-11T07:59:59.000Z,USD,44.58,USD,44.58,,2025-11-23T05:40:05.000Z,404535082875,1,10077005984906,NO_LONGER_NEED_ITEM,REMORSE,MONEY_BACK,MONEY_BACK,False,False,,,06-13812-91542,5306317320,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5306317320,espartsplus,SELLER_ISSUE_REFUND,2025-12-17T07:59:59.000Z,USD,37.99,USD,40.99,CLOSED,CLOSED,2025-12-31T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5306387713,dscorey47,NOTIFIED_SHIPPED,2025-12-11T07:59:59.000Z,USD,21.49,USD,21.49,Threads are not cut deep enough and very hard to get the lug nuts started.  It would be very easy to cross thread these if I were to get the tires rotated.  They are with out a doubt defective!,2025-11-24T13:09:29.000Z,404200446494,1,10077070248706,DEFECTIVE_ITEM,SNAD,MONEY_BACK,MONEY_BACK,False,False,,,06-13823-96752,5306387713,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5306387713,espartsplus,SELLER_ISSUE_REFUND,2025-12-09T07:59:59.000Z,USD,19.99,USD,19.99,CLOSED,CLOSED,2025-12-31T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5306408965,salvage2savagefinds,NOTIFIED_SHIPPED,2025-12-11T07:59:59.000Z,,,USD,31.94,,2025-11-24T17:26:29.000Z,404371692303,1,10076390997108,NO_LONGER_NEED_ITEM,REMORSE,MONEY_BACK,MONEY_BACK,False,False,,,08-13849-86503,5306408965,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5306408965,espartsplus,SELLER_PROVIDE_LABEL,2025-12-17T07:59:59.000Z,,,USD,29.99,CLOSED,CLOSED,2025-12-31T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5306497337,timmy1198,NOTIFIED_SHIPPED,2025-12-11T07:59:59.000Z,USD,31.79,USD,31.79,Don’t fit,2025-11-25T17:22:13.000Z,404867551490,1,10076642831102,DOES_NOT_FIT,SNAD,MONEY_BACK,MONEY_BACK,False,True,2026-01-22T07:59:59.999Z,2025-12-05T08:00:43.000Z,02-13862-54203,5306497337,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5306497337,espartsplus,SELLER_ISSUE_REFUND,2025-12-05T07:59:59.000Z,USD,29.99,USD,29.99,CLOSED,CLOSED,2026-01-01T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5306531831,superbikestore_llc,NOTIFIED_SHIPPED,2025-12-11T07:59:59.000Z,USD,41.29,USD,41.29,,2025-11-26T01:19:33.000Z,404753950665,1,10076250344124,WRONG_SIZE,REMORSE,MONEY_BACK,MONEY_BACK,False,False,,,24-13827-88467,5306531831,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5306531831,espartsplus,SELLER_ISSUE_REFUND,2025-12-04T07:59:59.000Z,USD,34.95,USD,38.95,CLOSED,CLOSED,2026-01-01T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5306655296,idilo-0,NOTIFIED_SHIPPED,2025-12-16T07:59:59.000Z,USD,22.04,USD,22.04,,2025-11-27T17:16:21.000Z,404490913017,1,10077324957106,ORDERED_WRONG_ITEM,REMORSE,MONEY_BACK,MONEY_BACK,False,False,,,06-13868-67760,5306655296,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5306655296,espartsplus,SELLER_ISSUE_REFUND,2025-12-16T07:59:59.000Z,USD,19.99,USD,19.99,CLOSED,CLOSED,2026-01-06T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5306724723,clev453,BUYER_ESCALATE,2026-01-08T07:59:59.000Z,USD,36.96,USD,36.96,It’s the wrong item. I ordered black lug nuts but I received chrome lug nuts. ,2025-11-28T18:54:51.000Z,404371701337,1,10077312288514,ORDERED_DIFFERENT_ITEM,SNAD,MONEY_BACK,MONEY_BACK,False,False,,,14-13860-20957,5306724723,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5306724723,espartsplus,SELLER_ISSUE_REFUND,2025-12-18T07:59:59.000Z,USD,33.99,USD,33.99,CLOSED,CLOSED,2026-01-06T07:59:59.999Z
